ID_REF	Description	GSM41346	GSM41347	GSM41348	GSM41349	GSM41350	GSM41351	GSM41352	GSM41353	GSM41354	GSM41355	GSM41356	GSM41357
201595_s_at	NA	1149.8	996.9	941.1	1120.8	1386.1	869.5	828.6	1369.5	1007.3	1095.5	1072.3	978.8
201596_x_at	NA	6595.9	22027.9	13021.8	5908.2	7605.9	8779.4	7165.2	7660.7	8595.9	7321.3	7864.1	8330.6
201597_at	NA	3775	7498.9	5646.8	3390.6	6379.9	3116.7	3054.8	6043.4	3828.4	3355.7	5834.9	3184.9
201598_s_at	NA	928.1	490.5	706.9	1111.7	574.8	905.4	1332.2	685.5	873.4	1074.5	674.4	1113.3
201599_at	NA	2222.9	3933.1	2144.6	2630.9	2920.3	1603.7	2451.9	2885.7	2054.4	2265.9	2923.3	2010.6
201600_at	NA	4963.3	3645	4802.4	4643.3	5046.1	5426.8	5011.4	4889.2	5165.2	5111.2	5038.8	6198.4
201601_x_at	NA	2016.8	1033.2	970.6	1664.5	1331.6	906.8	1944.7	1146.1	1193.5	2005.6	1061.4	888.9
201602_s_at	NA	309.5	315.5	209.5	373.7	390.9	143.7	266.3	376.1	213.6	248.7	277.5	207.4
201603_at	NA	432.2	542.6	392	564.8	604.5	256.1	387.8	735	281.9	406.8	429.3	222.2
201604_s_at	NA	767.3	467.8	444.2	625.4	403.7	396	643.1	445.1	374.3	628.4	322.5	458.7
201605_x_at	NA	944.7	780.2	1434.6	990.5	964.9	1913.7	1011.6	858.7	2095.7	964.2	920	2181.4
201606_s_at	NA	1632.1	1377.7	1506.3	2011.4	2321.4	1382.6	1770.7	2437.5	1862.9	1753.9	2206.4	1816.3
201607_at	NA	664.2	322.5	504.7	609	559.9	525.9	740.4	557.1	570.3	697.1	576.8	512.4
201608_s_at	NA	1118.8	1182.3	1084.1	1559.4	1441.9	1238.2	1189.5	1668.2	1264.5	1020.5	1451.3	1399.5
201609_x_at	NA	1375.9	1084.3	1151.1	1464.9	1296.7	1589	1581.6	1536.9	1542.7	1530.5	1326.6	1510.9
201610_at	NA	61.4	21.2	50.4	33.8	22	5.4	70.3	23.9	26.8	42.2	37.2	8.2
201611_s_at	NA	533.4	311.8	254.2	434.5	302.5	385.1	426	327.8	293	448.9	437.3	319.8
201612_at	NA	2306.9	2066.8	2721.4	2123.2	1436.2	1792.6	1765.5	1295.8	2157.1	1715.2	1506.8	1892.1
201613_s_at	NA	587	248.6	237.2	404.1	276.3	234.8	373.8	450.3	221.8	460.8	270	249.7
201614_s_at	NA	220.4	424.6	352.2	439.3	533.8	370.3	433.5	447.1	492.3	425.5	547	552.1
201615_x_at	NA	207.6	200.3	183.7	182.2	271.1	422.9	295	314.5	348.6	283.6	329.5	255.7
201616_s_at	NA	866.9	823.4	695.5	1066.2	1005	933.5	876	1220	905.3	724.8	1097.1	876.4
201617_x_at	NA	475.6	390.2	521.1	971	586.9	344.4	613.6	656	513.7	583.5	561.6	435.4
201618_x_at	NA	1067.6	628	1093	878.2	618.8	953.2	1253.5	576.8	665.6	837.7	790.7	916.7
201619_at	NA	3587.8	3959.4	4629.3	3519.2	3548.8	2929.5	2816.5	3380.7	4378.8	3906.3	3368.9	4249.1
201620_at	NA	778.6	689.1	793.8	1040.8	768.2	521.6	683.2	728	1097.2	699.1	731.2	734.6
201621_at	NA	1132.4	1978.5	1957.9	467.3	239.5	426.1	409.1	259	461.1	317.5	282.2	599
201622_at	NA	1183.3	1604.9	1661.7	955.5	1703.8	1521.5	1276	1564.6	1153.4	1321.8	1520.1	1401.5
201623_s_at	NA	2302.3	1640.9	2531.3	2859.5	2888	3569.3	2876.4	2485.8	3436.7	2362.6	2275.2	3048
201624_at	NA	758.9	795	691.7	1492.6	1024	903.7	1124.4	953.7	943.5	1039.3	1017.5	935.5
201625_s_at	NA	2697.7	1515.6	1944.1	3229.4	1917.4	2840.9	3002.4	1837.1	2189.6	2760	2076.9	2674.5
201626_at	NA	3711.7	1579.4	1902.7	3344.9	3406.9	3885	3006.4	2984.5	1652.2	3698.2	2984	2404.1
201627_s_at	NA	5612.1	2089.4	3792.1	5246.5	4607.9	5333.5	4951.2	4126.3	4762.5	5361.4	4181	4663
201628_s_at	NA	2410.1	2288.6	2298.3	2546.6	2388.6	2771.6	2418.2	2313.1	2930.5	2587.2	2475.8	3117.6
201629_s_at	NA	413.5	719.2	459.7	543	491.7	250.6	460.5	420.1	337.2	483.4	659	453
201630_s_at	NA	1175.4	1103.2	1046.3	1200.6	1055.3	817.4	2234.4	1118.8	978.8	2619.7	1086.2	861.7
201631_s_at	NA	10659.5	8301.7	9305.2	7152.5	12508	12023.3	8455.3	12857.3	9069.9	7531	13337	11815.6
201632_at	NA	1069.8	1047.1	896.2	1066.1	744.7	570.6	955	727	995.5	1017.3	881.2	747.5
201633_s_at	NA	325.9	231.7	308.5	450.6	265.1	323.6	326	193.3	367.3	354.4	221.1	394.3
201634_s_at	NA	166.3	257.4	157.6	275.3	198.1	140.7	140.8	255.2	230.6	237.4	320	75.2
201635_s_at	NA	1523.3	2521.5	2007.7	1705.8	1580.1	1010.6	1617.6	1560.8	2037.5	1555.1	1717	1453.8
201636_at	NA	1028.5	1090.7	825.4	1014.5	1061	771	985.7	853.8	786.9	980.2	765.1	686.3
201637_s_at	NA	1563.5	2742.8	1976.2	1710.6	1860.2	1277.6	1201.7	1814.4	1539	1560.2	1663.3	1450.8
201638_s_at	NA	50.4	16.1	110.6	22.5	80.8	150.2	71.1	22.2	144.7	25.5	41	84
201639_s_at	NA	695.4	395.6	353.3	679.7	497.3	624.2	708.4	523.9	432.6	744.4	599.4	620.3
201640_x_at	NA	942.2	1021.1	1050.8	1033.7	621.8	1127.9	1117.1	697	1042.8	1181.1	876.1	1080.8
201641_at	NA	1672.7	1043.9	1211.2	1560.6	1184.8	1466.2	1123.4	801.5	1209.5	1647	809	1143.1
201642_at	NA	1984.5	1364.5	1282.3	2467.8	1778.8	1990.9	2529.1	1922.3	2200.7	2326.7	2106.3	2107.4
201643_x_at	NA	1207.8	859.6	863.6	1092.5	1070.5	1099.2	1476.6	1074.4	1012.8	1318.1	1136.2	923.9
201644_at	NA	596.5	684.2	758.5	574.5	643.6	824.4	568.2	576.2	860.7	547.7	753.9	821.8
201645_at	NA	294.2	137.6	412.1	346.7	328.2	342.2	296.4	279.8	569.6	390.5	226.8	315.8
201646_at	NA	598.5	499.9	915.6	880	502.3	861.2	597.8	619.4	1084.1	666.1	594.7	853.4
201647_s_at	NA	536	202.8	692.9	621.3	217.1	738.8	553	208	889.3	528.9	174	745.7
201648_at	NA	2104	3552.1	2924.2	1830.4	2174.3	1784.2	1366.7	1977.6	2215.7	1452.1	2154.4	1962.3
201649_at	NA	1241.4	896.7	1055.1	1153.4	1171.1	1175.5	1606	1235.7	1165.6	1404.1	1086.7	1187.1
201650_at	NA	7502.5	7414.3	6731.9	5302.4	3926.3	3117.8	5818.2	3874	3471.8	5622.9	3582.1	3578.8
201651_s_at	NA	1396.4	875.9	1526.8	2185.8	840.3	1459.6	1974	797.1	1574.4	1670.7	756.7	2179.5
201652_at	NA	1113.4	1517	1416.9	1218.4	1356.2	1201.9	1045.1	1429.7	1557.1	1168.5	1569.8	1096.8
201653_at	NA	2978.9	3777.6	3422.7	3160	4148.7	3550.2	2529.8	3238.2	3068	2440.2	3230.3	2358.8
201654_s_at	NA	13.9	6.7	182.7	67.2	8	210.1	17.4	41.3	304.7	21	8.8	237.2
201655_s_at	NA	176.2	31.5	421.9	252.7	156.1	237.3	128.6	326.7	310.6	262.3	445.1	391.5
201656_at	NA	2128.2	1476.9	1281.6	2145.3	1584	763.5	1541.1	1446.6	930	1464.7	1248.4	905.2
201657_at	NA	231.8	227.2	228.1	390.9	277.3	112.1	235.1	319.2	229.5	155.8	341.7	160.2
201658_at	NA	593.8	612	354.7	590.1	869.9	614.2	819	665.2	617.7	663	719.1	673.6
